MoldName,SaveDate,Materials,Colour,MoldNum
9,2019/3/4-16:17:43,9,9,9
,,,,
DataID,DataValue,,,
0x754,65535,,,
0x755,65535,,,
0x756,65535,,,
0x757,65535,,,
0x758,65535,,,
0x759,65535,,,
0x75A,65535,,,
0x75B,65535,,,
0x75C,65535,,,
0x75D,65535,,,
0x75E,65535,,,
0x75F,65535,,,
0x760,0,,,
0x761,5,,,
0x762,300,,,
0x764,65535,,,
0x765,65535,,,
0x766,65535,,,
0x767,65535,,,
0x768,65535,,,
0x769,0,,,
0x76A,0,,,
0x76B,0,,,
0x76C,0,,,
0x76D,0,,,
0x76E,0,,,
0x76F,0,,,
0x770,0,,,
0x771,65535,,,
0x772,65535,,,
0x773,65535,,,
0x774,65535,,,
0x775,65535,,,
0x776,65535,,,
0x777,65535,,,
0x778,65535,,,
0x779,65535,,,
0x77A,65535,,,
0x77B,65535,,,
0x77C,65535,,,
0x77D,65535,,,
0x77E,65535,,,
0x77F,65535,,,
0x780,65535,,,
0x781,65535,,,
0x782,65535,,,
0x783,65535,,,
0x784,65535,,,
0x785,65535,,,
0x786,65535,,,
0x787,65535,,,
0x788,65535,,,
0x789,65535,,,
0x78A,65535,,,
0x78B,65535,,,
0x78C,65535,,,
0x78D,65535,,,
0x78E,65535,,,
0x78F,65535,,,
0x790,50,,,
0x791,50,,,
0x792,65535,,,
0x793,50,,,
0x794,0,,,
0x795,0,,,
0x796,0,,,
0x797,3,,,
0x798,65535,,,
0x799,65535,,,
0x79A,65535,,,
0x79B,65535,,,
0x79C,65535,,,
0x79D,65535,,,
0x79E,65535,,,
0x79F,65535,,,
0x7A0,25,,,
0x7A1,25,,,
0x7A2,25,,,
0x7A3,25,,,
0x7A4,25,,,
0x7A5,25,,,
0x7A6,25,,,
0x7A7,25,,,
0x7A8,25,,,
0x7A9,65535,,,
0x7AA,65535,,,
0x7AB,65535,,,
0x7AC,65535,,,
0x7AD,65535,,,
0x7AE,65535,,,
0x7AF,65535,,,
0x7B0,65535,,,
0x7B1,65535,,,
0x7B2,65535,,,
0x7B3,65535,,,
0x7B4,50,,,
0x7B5,50,,,
0x7B6,50,,,
0x7B7,50,,,
0x7B8,50,,,
0x7B9,50,,,
0x7BA,50,,,
0x7BB,50,,,
0x7BC,50,,,
0x7BD,65535,,,
0x7BE,65535,,,
0x7BF,65535,,,
0x7C0,65535,,,
0x7C1,65535,,,
0x7C2,65535,,,
0x7C3,65535,,,
0x7C4,65535,,,
0x7C5,65535,,,
0x7C6,65535,,,
0x7C7,65535,,,
0x7C8,25,,,
0x7C9,25,,,
0x7CA,25,,,
0x7CB,25,,,
0x7CC,25,,,
0x7CD,25,,,
0x7CE,25,,,
0x7CF,25,,,
0x7D0,25,,,
0x7D1,65535,,,
0x7D2,65535,,,
0x7D3,65535,,,
0x7D4,65535,,,
0x7D5,65535,,,
0x7D6,65535,,,
0x7D7,65535,,,
0x7D8,65535,,,
0x7D9,65535,,,
0x7DA,65535,,,
0x7DB,65535,,,
0x7DC,60000,,,
0x7DE,90000,,,
0x7E0,65535,,,
0x7E1,65535,,,
0x7E2,0,,,
0x7E3,65535,,,
0x7E4,65535,,,
0x7E5,65535,,,
0x7E6,65535,,,
0x7E7,65535,,,
0x7E8,65535,,,
0x7E9,65535,,,
0x7EA,65535,,,
0x7EB,65535,,,
0x7EC,65535,,,
0x7ED,65535,,,
0x7EE,65535,,,
0x7EF,65535,,,
0x7F0,65535,,,
0x7F1,65535,,,
0x7F2,65535,,,
0x7F3,65535,,,
0x7F4,65535,,,
0x7F5,65535,,,
0x7F6,65535,,,
0x7F7,65535,,,
0x7F8,65535,,,
0x7F9,65535,,,
0x7FA,65535,,,
0x7FB,65535,,,
0x7FC,65535,,,
0x7FD,65535,,,
0x7FE,65535,,,
0x7FF,65535,,,
0x800,0,,,
0x801,0,,,
0x802,65535,,,
0x803,65535,,,
0x804,65535,,,
0x805,65535,,,
0x806,65535,,,
0x807,65535,,,
0x808,65535,,,
0x809,65535,,,
0x80A,65535,,,
0x80B,65535,,,
0x80C,65535,,,
0x80D,65535,,,
0x80E,65535,,,
0x80F,65535,,,
0x810,65535,,,
0x811,65535,,,
0x812,65535,,,
0x813,65535,,,
0x814,65535,,,
0x815,65535,,,
0x816,65535,,,
0x817,65535,,,
0x818,65535,,,
0x819,65535,,,
0x81A,65535,,,
0x81B,65535,,,
0x81C,65535,,,
0x81D,65535,,,
0x81E,65535,,,
0x81F,65535,,,
0x820,65535,,,
0x821,65535,,,
0x822,65535,,,
0x823,65535,,,
0x824,65535,,,
0x825,65535,,,
0x826,65535,,,
0x827,65535,,,
0x828,65535,,,
0x829,65535,,,
0x82A,65535,,,
0x82B,65535,,,
0x82C,65535,,,
0x82D,65535,,,
0x82E,65535,,,
0x82F,65535,,,
0x830,65535,,,
0x831,65535,,,
0x832,65535,,,
0x833,65535,,,
0x834,65535,,,
0x835,65535,,,
0x836,65535,,,
0x837,65535,,,
0x838,65535,,,
0x839,65535,,,
0x83A,65535,,,
0x83B,65535,,,
0x83C,65535,,,
0x83D,65535,,,
0x83E,65535,,,
0x83F,65535,,,
0x840,65535,,,
0x841,65535,,,
0x842,65535,,,
0x843,65535,,,
0x844,65535,,,
0x845,65535,,,
0x846,65535,,,
0x847,65535,,,
0x848,65535,,,
0x849,65535,,,
0x84A,65535,,,
0x84B,65535,,,
0x84C,65535,,,
0x84D,65535,,,
0x84E,65535,,,
0x84F,65535,,,
0x850,65535,,,
0x851,65535,,,
0x852,65535,,,
0x853,65535,,,
0x854,65535,,,
0x855,65535,,,
0x856,65535,,,
0x857,65535,,,
0x858,65535,,,
0x859,65535,,,
0x85A,65535,,,
0x85B,65535,,,
0x85C,65535,,,
0x85D,65535,,,
0x85E,65535,,,
0x85F,65535,,,
0x860,65535,,,
0x861,65535,,,
0x862,65535,,,
0x863,65535,,,
0x864,65535,,,
0x865,65535,,,
0x866,65535,,,
0x867,65535,,,
0x868,65535,,,
0x869,65535,,,
0x86A,65535,,,
0x86B,65535,,,
0x86C,65535,,,
0x86D,65535,,,
0x86E,65535,,,
0x86F,65535,,,
0x870,65535,,,
0x871,65535,,,
0x872,65535,,,
0x873,65535,,,
