NO.,Time,#1 SetValue,#1 RealValue,#2 SetValue,#2 RealValue,#3 SetValue,#3 RealValue,#4 SetValue,#4 RealValue,#5 SetValue,#5 RealValue,#6 SetValue,#6 RealValue,#7 SetValue,#7 RealValue,#8 SetValue,#8 RealValue,#9 SetValue,#9 RealValue
1030,04/04/2019 15:08:15,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1031,04/04/2019 15:08:19,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1032,04/04/2019 15:08:23,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1033,04/04/2019 15:08:27,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1034,04/04/2019 15:08:31,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1035,04/04/2019 15:08:35,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1036,04/04/2019 15:08:39,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1037,04/04/2019 15:08:43,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1038,04/04/2019 15:08:47,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1039,04/04/2019 15:08:51,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1040,04/04/2019 15:08:55,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1041,04/04/2019 15:08:59,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1042,04/04/2019 15:09:03,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1043,04/04/2019 15:09:07,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1044,04/04/2019 15:09:11,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1045,04/04/2019 15:09:15,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1046,04/04/2019 15:09:19,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1047,04/04/2019 15:09:23,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1048,04/04/2019 15:09:27,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1049,04/04/2019 15:09:31,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1050,04/04/2019 15:09:35,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
1051,04/04/2019 15:09:39,300,202,30,14,40,33,100,93,100,92,150,144,130,118,25,0,25,0
